source,dataset_subcategory,model_subcategory,paper_count,paper_percent,model_column_percent,dataset_row_percent
GPT-5.1,Clustering,OpenAI,14,1.42,0.66,25.45
GPT-5.1,Dialogue,Alibaba / Qwen team,13,1.31,3.07,3.45
GPT-5.1,Retrieval,Anthropic,13,1.31,3.56,2.69
GPT-5.1,Regression,Anthropic,12,1.21,3.29,3.87
GPT-5.1,Translation,Mistral AI,12,1.21,1.24,11.43
GPT-5.1,Clustering,Other / Academic,12,1.21,0.9,21.82
GPT-5.1,Regression,Microsoft Research,11,1.11,4.87,3.55
GPT-5.1,Forecasting,Alibaba / Qwen team,11,1.11,2.59,4.49
GPT-5.1,Sequence labeling,Alibaba / Qwen team,11,1.11,2.59,4.91
GPT-5.1,Reinforcement learning,Mistral AI,11,1.11,1.14,4.95
GPT-5.1,Reinforcement learning,Anthropic,11,1.11,3.01,4.95
GPT-5.1,Translation,Other / Academic,11,1.11,0.83,10.48
GPT-5.1,Forecasting,Google DeepMind,10,1.01,2.36,4.08
GPT-5.1,Summarization,Microsoft Research,10,1.01,4.42,3.89
GPT-5.1,Alignment,Alibaba / Qwen team,10,1.01,2.36,3.5
GPT-5.1,Dialogue,Microsoft Research,9,0.91,3.98,2.39
GPT-5.1,Question answering,Hugging Face,9,0.91,7.5,0.77
GPT-5.1,Reinforcement learning,Alibaba / Qwen team,9,0.91,2.12,4.05
GPT-5.1,Multimodal integration,Mistral AI,9,0.91,0.93,4.11
GPT-5.1,Summarization,Alibaba / Qwen team,9,0.91,2.12,3.5
GPT-5.1,Summarization,Anthropic,9,0.91,2.47,3.5
GPT-5.1,Multimodal integration,Anthropic,8,0.81,2.19,3.65
GPT-5.1,Retrieval,DeepSeek,7,0.71,4.58,1.45
GPT-5.1,Translation,Alibaba / Qwen team,7,0.71,1.65,6.67
GPT-5.1,Forecasting,Anthropic,7,0.71,1.92,2.86
GPT-5.1,Multimodal integration,Microsoft Research,7,0.71,3.1,3.2
GPT-5.1,Alignment,Microsoft Research,7,0.71,3.1,2.45
GPT-5.1,Sequence labeling,Microsoft Research,7,0.71,3.1,3.12
GPT-5.1,Object detection,Google DeepMind,7,0.71,1.65,5.34
GPT-5.1,Reinforcement learning,Google DeepMind,7,0.71,1.65,3.15
GPT-5.1,Summarization,Hugging Face,6,0.61,5.0,2.33
GPT-5.1,Regression,Alibaba / Qwen team,6,0.61,1.42,1.94
GPT-5.1,Regression,Hugging Face,6,0.61,5.0,1.94
GPT-5.1,Translation,Google DeepMind,6,0.61,1.42,5.71
GPT-5.1,Sequence labeling,Anthropic,6,0.61,1.64,2.68
GPT-5.1,Ranking,Other / Academic,6,0.61,0.45,35.29
GPT-5.1,Object detection,Mistral AI,6,0.61,0.62,4.58
GPT-5.1,Clustering,Mistral AI,6,0.61,0.62,10.91
GPT-5.1,Ranking,Meta AI,5,0.51,0.2,29.41
GPT-5.1,Classification,Stability AI,4,0.4,20.0,0.22
GPT-5.1,Generation,Stability AI,4,0.4,20.0,0.3
GPT-5.1,Alignment,DeepSeek,4,0.4,2.61,1.4
GPT-5.1,Ranking,OpenAI,4,0.4,0.19,23.53
GPT-5.1,Regression,DeepSeek,4,0.4,2.61,1.29
GPT-5.1,Decision Making,OpenAI,4,0.4,0.19,33.33
GPT-5.1,Translation,Anthropic,4,0.4,1.1,3.81
GPT-5.1,Sequence labeling,Hugging Face,3,0.3,2.5,1.34
GPT-5.1,Clustering,Anthropic,3,0.3,0.82,5.45
GPT-5.1,Forecasting,Hugging Face,3,0.3,2.5,1.22
GPT-5.1,Reinforcement learning,DeepSeek,3,0.3,1.96,1.35
GPT-5.1,Translation,Hugging Face,3,0.3,2.5,2.86
GPT-5.1,Decision Making,Meta AI,3,0.3,0.12,25.0
GPT-5.1,Reasoning,Stability AI,3,0.3,15.0,0.21
GPT-5.1,Question answering,Stability AI,3,0.3,15.0,0.26
GPT-5.1,Multimodal integration,DeepSeek,3,0.3,1.96,1.37
GPT-5.1,Sequence labeling,DeepSeek,3,0.3,1.96,1.34
GPT-5.1,Dialogue,DeepSeek,3,0.3,1.96,0.8
GPT-5.1,Decision Making,Alibaba / Qwen team,2,0.2,0.47,16.67
GPT-5.1,Retrieval,Stability AI,2,0.2,10.0,0.41
GPT-5.1,Clustering,Microsoft Research,2,0.2,0.88,3.64
GPT-5.1,Object detection,Microsoft Research,2,0.2,0.88,1.53
GPT-5.1,Generation,NVIDIA / NeMo,2,0.2,25.0,0.15
GPT-5.1,Alignment,Hugging Face,2,0.2,1.67,0.7
GPT-5.1,"Generation, Reasoning",Microsoft Research,1,0.1,0.44,25.0
GPT-5.1,"Reasoning, Generation",OpenAI,1,0.1,0.05,33.33
GPT-5.1,Clustering,Alibaba / Qwen team,1,0.1,0.24,1.82
GPT-5.1,Forecasting,DeepSeek,1,0.1,0.65,0.41
GPT-5.1,"Generation, Reasoning",Meta AI,1,0.1,0.04,25.0
GPT-5.1,Ranking,Google DeepMind,1,0.1,0.24,5.88
GPT-5.1,"Generation, Reasoning",OpenAI,1,0.1,0.05,25.0
GPT-5.1,"Generation, Reasoning",Other / Academic,1,0.1,0.08,25.0
GPT-5.1,Clustering,Google DeepMind,1,0.1,0.24,1.82
GPT-5.1,Decision Making,Mistral AI,1,0.1,0.1,8.33
GPT-5.1,Reinforcement learning,Hugging Face,1,0.1,0.83,0.45
GPT-5.1,Forecasting,Microsoft Research,1,0.1,0.44,0.41
GPT-5.1,"Reasoning, Generation",Alibaba / Qwen team,1,0.1,0.24,33.33
GPT-5.1,"Classification, Generation",Google DeepMind,1,0.1,0.24,33.33
GPT-5.1,"Classification, Generation",Meta AI,1,0.1,0.04,33.33
GPT-5.1,"Classification, Generation",OpenAI,1,0.1,0.05,33.33
GPT-5.1,"Question answering, Reasoning",Mistral AI,1,0.1,0.1,33.33
GPT-5.1,"Question answering, Reasoning",Other / Academic,1,0.1,0.08,33.33
GPT-5.1,"Question answering, Reasoning",Meta AI,1,0.1,0.04,33.33
GPT-5.1,Decision Making,Anthropic,1,0.1,0.27,8.33
GPT-5.1,Decision Making,Other / Academic,1,0.1,0.08,8.33
GPT-5.1,"Reasoning, Generation",Other / Academic,1,0.1,0.08,33.33
GPT-5.1,"Retrieval, Reasoning",Meta AI,1,0.1,0.04,20.0
GPT-5.1,"Summarization, Reasoning",Meta AI,1,0.1,0.04,33.33
GPT-5.1,"Summarization, Reasoning",OpenAI,1,0.1,0.05,33.33
GPT-5.1,Recommendation,Other / Academic,1,0.1,0.08,33.33
GPT-5.1,Recommendation,OpenAI,1,0.1,0.05,33.33
GPT-5.1,Recommendation,Meta AI,1,0.1,0.04,33.33
GPT-5.1,Dialogue,Hugging Face,1,0.1,0.83,0.27
GPT-5.1,Object detection,DeepSeek,1,0.1,0.65,0.76
GPT-5.1,Ranking,Mistral AI,1,0.1,0.1,5.88
GPT-5.1,Classification,NVIDIA / NeMo,1,0.1,12.5,0.06
GPT-5.1,Question answering,NVIDIA / NeMo,1,0.1,12.5,0.09
GPT-5.1,Retrieval,NVIDIA / NeMo,1,0.1,12.5,0.21
GPT-5.1,Object detection,NVIDIA / NeMo,1,0.1,12.5,0.76
GPT-5.1,Reasoning,NVIDIA / NeMo,1,0.1,12.5,0.07
GPT-5.1,"Retrieval, Reasoning",NVIDIA / NeMo,1,0.1,12.5,20.0
GPT-5.1,"Retrieval, Reasoning",OpenAI,1,0.1,0.05,20.0
GPT-5.1,"Retrieval, Reasoning",Microsoft Research,1,0.1,0.44,20.0
GPT-5.1,"Retrieval, Reasoning",Other / Academic,1,0.1,0.08,20.0
GPT-5.1,Translation,Stability AI,1,0.1,5.0,0.95
GPT-5.1,Object detection,Stability AI,1,0.1,5.0,0.76
GPT-5.1,Decision making,Mistral AI,1,0.1,0.1,33.33
GPT-5.1,Decision making,Other / Academic,1,0.1,0.08,33.33
GPT-5.1,Decision making,Meta AI,1,0.1,0.04,33.33
GPT-5.1,Summarization,DeepSeek,1,0.1,0.65,0.39
GPT-5.1,Dialogue,Stability AI,1,0.1,5.0,0.27
GPT-5.1,Multimodal integration,Stability AI,1,0.1,5.0,0.46
GPT-5.1,Reinforcement learning,Microsoft Research,1,0.1,0.44,0.45
GPT-5.1,"Summarization, Reasoning",Mistral AI,1,0.1,0.1,33.33
GPT-5.1,Multimodal integration,Hugging Face,1,0.1,0.83,0.46
