source,dataset_subcategory,model_subcategory,paper_count,paper_percent,model_column_percent,dataset_row_percent
GPT-5.1,Decision Making,Transformer,4,0.4,0.13,66.67
GPT-5.1,Forecasting,CNN,4,0.4,5.0,2.21
GPT-5.1,Reinforcement learning,Tree-Based,4,0.4,4.6,2.78
GPT-5.1,Question answering,Tree-Based,3,0.3,3.45,0.5
GPT-5.1,Multimodal integration,Probabilistic,3,0.3,6.52,2.19
GPT-5.1,Generation,Probabilistic,3,0.3,6.52,0.45
GPT-5.1,Question answering,CNN,3,0.3,3.75,0.5
GPT-5.1,Reasoning,RNN,3,0.3,9.38,0.41
GPT-5.1,Reinforcement learning,Probabilistic,3,0.3,6.52,2.08
GPT-5.1,Regression,Probabilistic,3,0.3,6.52,1.42
GPT-5.1,Retrieval,Reinforcement Learning (Rl),3,0.3,5.66,1.05
GPT-5.1,Alignment,Linear,3,0.3,4.62,2.22
GPT-5.1,Retrieval,CNN,3,0.3,3.75,1.05
GPT-5.1,Generation,Linear,3,0.3,4.62,0.45
GPT-5.1,Sequence labeling,Tree-Based,3,0.3,3.45,2.48
GPT-5.1,Reinforcement learning,CNN,3,0.3,3.75,2.08
GPT-5.1,Forecasting,Probabilistic,3,0.3,6.52,1.66
GPT-5.1,Decision Making,Generative,2,0.2,0.16,33.33
GPT-5.1,Object detection,Reinforcement Learning (Rl),2,0.2,3.77,2.06
GPT-5.1,Regression,RNN,2,0.2,6.25,0.94
GPT-5.1,Object detection,Probabilistic,2,0.2,4.35,2.06
GPT-5.1,Reinforcement learning,Graph Neural Network (Gnn),2,0.2,2.35,1.39
GPT-5.1,Multimodal integration,Tree-Based,2,0.2,2.3,1.46
GPT-5.1,Dialogue,Tree-Based,2,0.2,2.3,1.15
GPT-5.1,Alignment,Graph Neural Network (Gnn),2,0.2,2.35,1.48
GPT-5.1,Multimodal integration,Graph Neural Network (Gnn),2,0.2,2.35,1.46
GPT-5.1,Multimodal integration,Reinforcement Learning (Rl),2,0.2,3.77,1.46
GPT-5.1,Retrieval,Tree-Based,2,0.2,2.3,0.7
GPT-5.1,Regression,Reinforcement Learning (Rl),2,0.2,3.77,0.94
GPT-5.1,Generation,Reinforcement Learning (Rl),2,0.2,3.77,0.3
GPT-5.1,Clustering,Linear,2,0.2,3.08,6.9
GPT-5.1,Classification,Kernel Models,2,0.2,22.22,0.2
GPT-5.1,Translation,CNN,1,0.1,1.25,1.85
GPT-5.1,Question answering,RNN,1,0.1,3.12,0.17
GPT-5.1,Alignment,Kernel Models,1,0.1,11.11,0.74
GPT-5.1,Object detection,Tree-Based,1,0.1,1.15,1.03
GPT-5.1,Decision making,Transformer,1,0.1,0.03,50.0
GPT-5.1,Reinforcement learning,RNN,1,0.1,3.12,0.69
GPT-5.1,Multimodal integration,RNN,1,0.1,3.12,0.73
GPT-5.1,Sequence labeling,Probabilistic,1,0.1,2.17,0.83
GPT-5.1,"Question answering, Reasoning",Transformer,1,0.1,0.03,100.0
GPT-5.1,"Classification, Generation",Generative,1,0.1,0.08,50.0
GPT-5.1,"Classification, Generation",Transformer,1,0.1,0.03,50.0
GPT-5.1,Summarization,RNN,1,0.1,3.12,0.75
GPT-5.1,Summarization,Linear,1,0.1,1.54,0.75
GPT-5.1,Sequence labeling,CNN,1,0.1,1.25,0.83
GPT-5.1,Recommendation,Generative,1,0.1,0.08,50.0
GPT-5.1,Alignment,Tree-Based,1,0.1,1.15,0.74
GPT-5.1,Ranking,Tree-Based,1,0.1,1.15,5.26
GPT-5.1,Summarization,Tree-Based,1,0.1,1.15,0.75
GPT-5.1,Summarization,Graph Neural Network (Gnn),1,0.1,1.18,0.75
GPT-5.1,Dialogue,Graph Neural Network (Gnn),1,0.1,1.18,0.57
GPT-5.1,"Reasoning, Generation",Transformer,1,0.1,0.03,50.0
GPT-5.1,"Reasoning, Generation",Generative,1,0.1,0.08,50.0
GPT-5.1,Ranking,RNN,1,0.1,3.12,5.26
GPT-5.1,Sequence labeling,Graph Neural Network (Gnn),1,0.1,1.18,0.83
GPT-5.1,Sequence labeling,RNN,1,0.1,3.12,0.83
GPT-5.1,Alignment,Reinforcement Learning (Rl),1,0.1,1.89,0.74
GPT-5.1,Recommendation,Transformer,1,0.1,0.03,50.0
GPT-5.1,Ranking,Linear,1,0.1,1.54,5.26
GPT-5.1,Sequence labeling,Linear,1,0.1,1.54,0.83
GPT-5.1,Reinforcement learning,Kernel Models,1,0.1,11.11,0.69
GPT-5.1,"Retrieval, Reasoning",CNN,1,0.1,1.25,33.33
GPT-5.1,"Retrieval, Reasoning",Generative,1,0.1,0.08,33.33
GPT-5.1,"Retrieval, Reasoning",Transformer,1,0.1,0.03,33.33
GPT-5.1,Reasoning,CNN,1,0.1,1.25,0.14
GPT-5.1,Dialogue,CNN,1,0.1,1.25,0.57
GPT-5.1,Multimodal integration,Linear,1,0.1,1.54,0.73
GPT-5.1,Clustering,Graph Neural Network (Gnn),1,0.1,1.18,3.45
GPT-5.1,Retrieval,RNN,1,0.1,3.12,0.35
GPT-5.1,Dialogue,Probabilistic,1,0.1,2.17,0.57
GPT-5.1,Dialogue,Kernel Models,1,0.1,11.11,0.57
GPT-5.1,Translation,RNN,1,0.1,3.12,1.85
GPT-5.1,Regression,Kernel Models,1,0.1,11.11,0.47
GPT-5.1,Object detection,Linear,1,0.1,1.54,1.03
GPT-5.1,Reasoning,Kernel Models,1,0.1,11.11,0.14
GPT-5.1,Question answering,Kernel Models,1,0.1,11.11,0.17
GPT-5.1,"Summarization, Reasoning",Transformer,1,0.1,0.03,100.0
GPT-5.1,Retrieval,Kernel Models,1,0.1,11.11,0.35
GPT-5.1,Clustering,Probabilistic,1,0.1,2.17,3.45
GPT-5.1,"Generation, Reasoning",Transformer,1,0.1,0.03,50.0
GPT-5.1,"Generation, Reasoning",Generative,1,0.1,0.08,50.0
GPT-5.1,Question answering,Reinforcement Learning (Rl),1,0.1,1.89,0.17
GPT-5.1,Summarization,Reinforcement Learning (Rl),1,0.1,1.89,0.75
GPT-5.1,Ranking,Probabilistic,1,0.1,2.17,5.26
GPT-5.1,Decision making,Generative,1,0.1,0.08,50.0
GPT-5.1,Summarization,CNN,1,0.1,1.25,0.75
