source,metric_subcategory,model_subcategory,paper_count,paper_percent,metric_given_model_percent,model_given_metric_percent
gemini,Fairness,Google DeepMind,6,0.62,1.96,5.61
gemini,Fairness,Anthropic,6,0.62,1.75,5.61
gemini,Uncertainty,OpenAI,6,0.62,0.49,10.17
gemini,User Experience,Microsoft Research,5,0.51,3.76,2.72
gemini,Safety,DeepSeek,5,0.51,3.31,1.62
gemini,Accuracy,NVIDIA / NeMo,5,0.51,50.0,0.22
gemini,Uncertainty,Google DeepMind,5,0.51,1.63,8.47
gemini,Explainability,Mistral AI,4,0.41,0.57,5.41
gemini,Probability,DeepSeek,4,0.41,2.65,1.03
gemini,User Experience,Alibaba / Qwen team,4,0.41,2.48,2.17
gemini,Safety,Hugging Face,4,0.41,3.88,1.3
gemini,User Experience,Hugging Face,4,0.41,3.88,2.17
gemini,Robustness,Alibaba / Qwen team,4,0.41,2.48,2.29
gemini,Fairness,Microsoft Research,4,0.41,3.01,3.74
gemini,Explainability,Alibaba / Qwen team,3,0.31,1.86,4.05
gemini,Uncertainty,Anthropic,3,0.31,0.88,5.08
gemini,Explainability,Google DeepMind,3,0.31,0.98,4.05
gemini,Accuracy,Cohere,3,0.31,23.08,0.13
gemini,Robustness,Microsoft Research,3,0.31,2.26,1.71
gemini,Safety,Microsoft Research,3,0.31,2.26,0.97
gemini,Probability,Cohere,3,0.31,23.08,0.77
gemini,Continuous Prediction,Stability AI,3,0.31,50.0,0.42
gemini,Regression,Hugging Face,3,0.31,2.91,0.77
gemini,Explainability,Microsoft Research,2,0.21,1.5,2.7
gemini,User Experience,DeepSeek,2,0.21,1.32,1.09
gemini,Robustness,DeepSeek,2,0.21,1.32,1.14
gemini,Accuracy,Stability AI,2,0.21,33.33,0.09
gemini,Uncertainty,Hugging Face,2,0.21,1.94,3.39
gemini,Fairness,Cohere,2,0.21,15.38,1.87
gemini,Efficiency / Latency,NVIDIA / NeMo,2,0.21,20.0,0.31
gemini,Ranking,Cohere,2,0.21,15.38,0.38
gemini,Uncertainty,DeepSeek,1,0.1,0.66,1.69
gemini,Safety,NVIDIA / NeMo,1,0.1,10.0,0.32
gemini,Continuous Prediction,Cohere,1,0.1,7.69,0.14
gemini,Fairness,Hugging Face,1,0.1,0.97,0.93
gemini,Explainability,Hugging Face,1,0.1,0.97,1.35
gemini,Regression,NVIDIA / NeMo,1,0.1,10.0,0.26
gemini,Uncertainty,Alibaba / Qwen team,1,0.1,0.62,1.69
gemini,Explainability,DeepSeek,1,0.1,0.66,1.35
gemini,User Experience,Stability AI,1,0.1,16.67,0.54
gemini,Robustness,NVIDIA / NeMo,1,0.1,10.0,0.57
gemini,Explainability,Cohere,1,0.1,7.69,1.35
gemini,Efficiency / Latency,Cohere,1,0.1,7.69,0.16
